time,force_feedback,force_desired,position_degrees,position_radians,force_last_desired,force_last_last_desired,position_last,position_last_last
0.0,30.58402472750935,3199.673133931411,23.79092159559835,0.4152299139270141,0.0,0.0,0.0,0.0
0.002,29.282576866764273,3192.187178160008,24.064354490076635,0.42000221821891837,3199.673133931411,0.0,0.4152299139270141,0.0
0.004,29.282576866764273,3184.3931882998727,24.351346040479463,0.425011165698851,3192.187178160008,3199.673133931411,0.42000221821891837,0.4152299139270141
0.006,30.90938669269562,3176.845504358152,24.631558262920024,0.42990179158476954,3184.3931882998727,3192.187178160008,0.425011165698851,0.42000221821891837
0.008,31.88547258825443,3169.4191769711488,24.909510709373155,0.4347529769393499,3176.845504358152,3184.3931882998727,0.42990179158476954,0.425011165698851
0.01,32.86155848381324,3161.7546974101315,25.19876203576341,0.4398013649506206,3169.4191769711488,3176.845504358152,0.4347529769393499,0.42990179158476954
0.012,32.86155848381324,3154.391490539543,25.47897425820397,0.4446919908365391,3161.7546974101315,3169.4191769711488,0.4398013649506206,0.4347529769393499
0.014,36.44054010086221,3146.7956426933383,25.770485360581645,0.44977981937914785,3154.391490539543,3161.7546974101315,0.4446919908365391,0.4398013649506206
0.016,37.41662599642102,3139.1488428168054,26.06651601493417,0.45494652898443266,3146.7956426933383,3154.391490539543,0.44977981937914785,0.4446919908365391
0.018000000000000002,39.043435822352365,3132.14536011135,26.339948909412456,0.459718833276337,3139.1488428168054,3146.7956426933383,0.45494652898443266,0.44977981937914785
0.02,38.7180738571661,3124.6273540438924,26.63597956376498,0.4648855428816218,3132.14536011135,3139.1488428168054,0.459718833276337,0.45494652898443266
0.022,38.7180738571661,3117.9690933194415,26.900373354293574,0.469500085048174,3124.6273540438924,3132.14536011135,0.4648855428816218,0.459718833276337
0.024,38.39271189197982,3110.6892773128206,27.19188445667125,0.4745879135907827,3117.9690933194415,3124.6273540438924,0.469500085048174,0.4648855428816218
0.026000000000000002,38.39271189197982,3103.250843583986,27.492434662998622,0.47983350425874366,3110.6892773128206,3117.9690933194415,0.4745879135907827,0.469500085048174
0.028,38.39271189197982,3095.4391061529755,27.811063077225388,0.485394619177409,3103.250843583986,3110.6892773128206,0.47983350425874366,0.4745879135907827
0.03,37.741987961607286,3088.468051331084,28.098054627628215,0.49040356665734164,3095.4391061529755,3103.250843583986,0.485394619177409,0.47983350425874366
0.032,37.41662599642102,3081.395936674798,28.391825505993317,0.4955308357312884,3088.468051331084,3095.4391061529755,0.49040356665734164,0.485394619177409
0.034,36.11517813567593,3074.6562948610062,28.6742975044213,0.500460902148545,3081.395936674798,3088.468051331084,0.4955308357312884,0.49040356665734164
0.036000000000000004,37.09126403123474,3067.4969961484826,28.977107486736095,0.5057459333478439,3074.6562948610062,3081.395936674798,0.500460902148545,0.4955308357312884
0.038,34.813730274930855,3060.3526543772577,29.282177245038316,0.511070405078481,3067.4969961484826,3074.6562948610062,0.5057459333478439,0.500460902148545
0.04,34.16300634455832,3053.485369928249,29.57820789939084,0.5162371146837659,3060.3526543772577,3067.4969961484826,0.511070405078481,0.5057459333478439
0.042,33.18692044899951,3046.940724867212,29.862939673806245,0.5212066216323604,3053.485369928249,3060.3526543772577,0.5162371146837659,0.511070405078481
0.044,32.2108345534407,3040.455221520137,30.147671448221654,0.5261761285809551,3046.940724867212,3053.485369928249,0.5212066216323604,0.5162371146837659
0.046,31.88547258825443,3033.2675032816182,30.466299862448416,0.5317372434996204,3040.455221520137,3046.940724867212,0.5261761285809551,0.5212066216323604
0.048,30.90938669269562,3026.504761668402,30.769109844763214,0.5370222746989194,3033.2675032816182,3040.455221520137,0.5317372434996204,0.5261761285809551
0.05,30.90938669269562,3020.1066145687,31.058361171153468,0.5420706627101901,3026.504761668402,3033.2675032816182,0.5370222746989194,0.5317372434996204
0.052000000000000005,30.90938669269562,3013.817908811259,31.345352721556296,0.5470796101901227,3020.1066145687,3026.504761668402,0.5420706627101901,0.5370222746989194
0.054,31.88547258825443,3008.223202214461,31.602967184122615,0.5515758307626607,3013.817908811259,3020.1066145687,0.5470796101901227,0.5420706627101901
0.056,31.560110623068162,3001.949522135743,31.89447828650029,0.5566636593052694,3008.223202214461,3013.817908811259,0.5515758307626607,0.5470796101901227
0.058,31.560110623068162,2995.9760407708723,32.17469050894085,0.5615542851911879,3001.949522135743,3008.223202214461,0.5566636593052694,0.5515758307626607
0.06,33.18692044899951,2989.6309301835386,32.47524071526822,0.5667998758591488,2995.9760407708723,3001.949522135743,0.5615542851911879,0.5566636593052694
0.062,33.83764437937205,2984.054921757044,32.74189428178424,0.571453858557039,2989.6309301835386,2995.9760407708723,0.5667998758591488,0.5615542851911879
0.064,34.16300634455832,2978.1562206751414,33.026626056199646,0.5764233655056337,2984.054921757044,2989.6309301835386,0.571453858557039,0.5667998758591488
0.066,35.4644542053034,2972.268360281223,33.31361760660248,0.5814323129855663,2978.1562206751414,2984.054921757044,0.5764233655056337,0.571453858557039
0.068,34.813730274930855,2966.986616075059,33.57349184515622,0.5859679740894422,2972.268360281223,2978.1562206751414,0.5814323129855663,0.5764233655056337
0.07,34.48836830974459,2961.616120988771,33.84014541167223,0.5906219567873324,2966.986616075059,2972.268360281223,0.5859679740894422,0.5814323129855663
0.07200000000000001,35.789816170489665,2956.07077292343,34.11809785812537,0.5954731421419128,2961.616120988771,2966.986616075059,0.5906219567873324,0.5859679740894422
0.074,35.789816170489665,2950.756817864387,34.387011200628805,0.6001665653711411,2956.07077292343,2961.616120988771,0.5954731421419128,0.5906219567873324
